Time,Displacement,Force
34.6,1.68766,21.74644
34.7,1.69607,21.70487
34.8,1.70448,21.89831
34.9,1.71262,21.86487
35,1.72071,21.91841
35.1,1.72923,22.23084
35.2,1.73775,22.18714
35.3,1.74616,22.11498
35.4,1.75441,22.27761
35.5,1.7625,22.25181
35.6,1.7708,22.49045
35.7,1.77932,22.56749
35.8,1.78779,22.64181
35.9,1.79609,22.69876
36,1.80429,22.81593
36.1,1.81243,22.85376
36.2,1.82089,22.8533
36.3,1.82936,22.99265
36.4,1.83782,23.10812
36.5,1.84607,23.23145
36.6,1.85416,23.14389
36.7,1.86252,23.37542
36.8,1.87104,23.52038
36.9,1.87945,23.49792
37,1.8878,23.46962
37.1,1.89589,23.51214
37.2,1.90409,23.82397
37.3,1.91261,23.83814
37.4,1.92107,23.82429
37.5,1.92948,24.08021
37.6,1.93768,24.22278
37.7,1.94577,24.02089
37.8,1.95418,24.31807
37.9,1.96275,24.27145
38,1.97116,24.34181
38.1,1.97946,24.3001
38.2,1.9875,24.56483
38.3,1.9958,24.5737
38.4,2.00432,24.85856
38.5,2.01279,24.83196
38.6,2.02114,24.81997
38.7,2.02934,24.87262
38.8,2.03743,24.94376
38.9,2.04579,25.16667
39,2.05436,25.2089
39.1,2.06282,25.29029
39.2,2.07107,25.37501
39.3,2.07921,25.40388
39.4,2.08746,25.45354
39.5,2.09598,25.67118
39.6,2.10445,25.68304
39.7,2.11286,25.79244
39.8,2.121,25.7897
39.9,2.12909,25.93483
40,2.13755,26.13981
40.1,2.14607,26.18633
40.2,2.15443,25.96656
40.3,2.16273,26.28704
40.4,2.17077,26.31088
40.5,2.17913,26.31648
40.6,2.18764,26.38495
40.7,2.19605,26.54166
40.8,2.20446,26.64197
40.9,2.21266,26.5558
41,2.2208,27.05459
41.1,2.22927,26.72056
41.2,2.23773,26.82217
41.3,2.24614,27.00351
41.4,2.25439,27.03399
41.5,2.26243,27.06425
41.6,2.27079,26.99382
41.7,2.2793,27.36236
41.8,2.28771,27.24893
41.9,2.29612,27.48829
42,2.30427,27.38387
42.1,2.31241,27.67221
42.2,2.32093,27.53757
42.3,2.32939,27.66039
42.4,2.3378,27.96104
42.5,2.34611,27.91148
42.6,2.35414,28.17155
42.7,2.3625,27.95184
42.8,2.37102,27.98294
42.9,2.37948,28.26388
43,2.38784,28.45198
43.1,2.39587,28.32184
43.2,2.40407,28.54572
43.3,2.41259,28.47234
43.4,2.42105,28.36966
43.5,2.42946,28.57625
43.6,2.43771,28.83864
43.7,2.4458,28.79504
43.8,2.45416,28.72056
43.9,2.46273,28.95204
44,2.47109,28.9085
44.1,2.4795,29.09931
44.2,2.48759,29.20695
44.3,2.49579,29.2673
44.4,2.5043,29.67728
44.5,2.51277,29.35592
44.6,2.52118,29.64447
44.7,2.52932,29.5561
44.8,2.53746,29.64383
44.9,2.54588,29.78595
45,2.55434,29.76965
45.1,2.5628,29.72482
45.2,2.57111,29.92826
45.3,2.57914,30.09617
45.4,2.58745,30.10981
45.5,2.59602,30.11154
45.6,2.60443,30.47302
45.7,2.61284,30.38661
45.8,2.62098,30.4273
45.9,2.62907,30.39644
46,2.63754,30.58872
46.1,2.64605,30.5953
46.2,2.65446,30.64561
46.3,2.66277,30.86696
46.4,2.6708,30.90527
46.5,2.67911,30.91603
46.6,2.68763,31.07916
46.7,2.69609,31.26638
46.8,2.7045,31.24901
46.9,2.71264,31.34923
47,2.72079,31.4213
47.1,2.7292,31.39987
47.2,2.73777,31.49109
47.3,2.74618,31.69376
47.4,2.75443,31.69704
47.5,2.76246,31.65015
47.6,2.77077,31.69031
47.7,2.77934,31.7674
47.8,2.7878,32.02053
47.9,2.79611,32.25173
48,2.80425,31.97918
48.1,2.81239,32.01852
48.2,2.82091,32.32383
48.3,2.82943,32.24268
48.4,2.83784,32.53796
48.5,2.84609,32.65268
48.6,2.85413,32.71354
48.7,2.86248,32.66823
48.8,2.871,32.74737
48.9,2.87946,32.69614
49,2.88782,32.81948
49.1,2.89591,33.07813
49.2,2.90405,33.02527
49.3,2.91257,32.93026
49.4,2.92104,33.17663
49.5,2.9295,33.16006
49.6,2.93775,33.23693
49.7,2.94579,33.63791
49.8,2.95414,33.48901
49.9,2.96271,33.69419
50,2.97113,33.58786
50.1,2.97948,33.74469
50.2,2.98757,33.82792
50.3,2.99577,33.88754
50.4,3.00434,34.05868
50.5,3.01275,34.04596
50.6,3.02116,34.04144
50.7,3.02936,34.26397
50.8,3.03739,34.32896
50.9,3.04586,34.23976
51,3.05438,34.50469
51.1,3.06279,34.61967
51.2,3.07114,34.75605
51.3,3.07918,34.5896
51.4,3.08743,34.68562
51.5,3.096,34.77013
51.6,3.10446,34.97196
51.7,3.11282,35.10082
51.8,3.12102,35.06501
51.9,3.12911,35.19557
52,3.13752,35.20983
52.1,3.14609,35.29242
52.2,3.15445,35.6152
52.3,3.16275,35.42599
52.4,3.17079,35.5723
52.5,3.17909,35.5393
52.6,3.18766,35.57347
52.7,3.19612,35.49818
52.8,3.20448,35.85178
52.9,3.21263,35.90192
53,3.22071,35.75271
53.1,3.22923,36.17443
53.2,3.23775,36.12414
53.3,3.24616,36.39061
53.4,3.25441,36.25174
53.5,3.2625,36.22703
53.6,3.2708,36.44185
53.7,3.27932,36.42308
53.8,3.28779,36.58742
53.9,3.29609,36.67809
54,3.30429,36.69734
54.1,3.31243,36.90868
54.2,3.32089,36.83655
54.3,3.32941,37.15851
54.4,3.33782,36.99873
54.5,3.34612,37.06228
54.6,3.35411,37.28224
54.7,3.36246,37.26707
54.8,3.37104,37.43255
54.9,3.37945,37.47182
55,3.3878,37.49725
55.1,3.39589,37.54118
55.2,3.40409,37.68796
55.3,3.41261,37.74029
55.4,3.42107,37.89624
55.5,3.42948,37.96968
55.6,3.43762,37.96402
55.7,3.44577,38.17631
55.8,3.45418,38.19795
55.9,3.46275,38.24958
56,3.47116,38.35699
56.1,3.47946,38.54126
56.2,3.4875,38.307
56.3,3.49575,38.58307
56.4,3.50432,38.61421
56.5,3.51279,38.50476
56.6,3.52114,38.92617
56.7,3.52934,38.89428
56.8,3.53737,38.87425
56.9,3.54584,39.13381
57,3.55436,39.2159
57.1,3.56277,39.23705
57.2,3.57113,39.29307
57.3,3.57916,39.27808
57.4,3.58746,39.46207
57.5,3.59598,39.409
57.6,3.60445,39.68335
57.7,3.61286,39.64856
57.8,3.621,39.58004
57.9,3.62909,39.88254
58,3.63755,39.95568
58.1,3.64607,39.80056
58.2,3.65443,39.97344
58.3,3.66273,40.12846
58.4,3.67077,40.02319
58.5,3.67907,40.30441
58.6,3.6877,40.33411
58.7,3.69611,40.47297
58.8,3.70446,40.5171
58.9,3.71261,40.65561
59,3.7208,40.7095
59.1,3.72927,40.81846
59.2,3.73773,40.88264
59.3,3.7462,40.80702
59.4,3.75445,41.09951
59.5,3.76248,41.00673
59.6,3.77084,41.23853
59.7,3.77936,41.11917
59.8,3.78782,41.19726
59.9,3.79612,41.21273
60,3.80427,41.28908
60.1,3.81241,41.50615
60.2,3.82093,41.59782
60.3,3.82939,41.60182
60.4,3.8378,41.64093
60.5,3.84605,41.95909
60.6,3.85414,41.90546
60.7,3.8625,42.07718
60.8,3.87102,42.07494
60.9,3.87948,42.17706
61,3.88779,42.15318
61.1,3.89587,42.15939
61.2,3.90407,42.37469
61.3,3.91259,42.45613
61.4,3.921,42.50756
61.5,3.92946,42.59204
